CIN,COMPANY_NAME,STATE,SOURCE,FIELD,SOURCE_URL
U29224GJ1982PTC005783,SAVANI ENTERPRISES (ENGG.) PVT LTD,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29224GJ1982PTC005783
U29230GJ2013PTC074925,PERSISTENT HI-TECH CASTING PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29230GJ2013PTC074925
U29242GJ2015PLC085439,KIOSITECH ENGINEERING LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29242GJ2015PLC085439
U29248GJ2014PTC081015,ALOMA ENTERPRISE PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29248GJ2014PTC081015
U29253GJ2006PTC048605,ALPHA INDUSTRIAL SOLUTIONS PVT. LTD.,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29253GJ2006PTC048605
U29253GJ2009PTC057723,HETAL GRAVOTECH PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29253GJ2009PTC057723
U29253GJ2012PTC071293,DMULASIA SOLAR ENERGY PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29253GJ2012PTC071293
U29253GJ2014PLC079414,DUDHAT INFRA PRODUCTS LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29253GJ2014PLC079414
U29253GJ2015PTC082770,RAPID BEVTECH PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29253GJ2015PTC082770
U29269GJ2006PTC047746,SMEW TEXTILE MACHINERY PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29269GJ2006PTC047746
